acl,2826
bbdev,1133
bitratestats,130
bpf,5193
cfgfile,555
cmdline,2966
compressdev,1138
cryptodev,1770
distributor,1160
eal,27964
efd,1335
ethdev,6424
eventdev,7590
flow_classify,1216
gro,1185
gso,470
hash,2069
ip_frag,1263
jobstats,264
kni,769
kvargs,222
latencystats,339
lpm,3376
mbuf,786
member,1183
mempool,1574
meter,112
metrics,280
net,761
pci,184
pdump,625
pipeline,5579
port,4446
power,1592
rawdev,550
reorder,381
ring,282
sched,2539
security,143
table,7635
telemetry,2933
timer,617
vhost,8033
