Name,URL,acl,bbdev,bitratestats,bpf,cfgfile,cmdline,compressdev,cryptodev,distributor,efd,ethdev,eventdev,flow_classify,gro,gso,hash,ip_frag,jobstats,kni,kvargs,latencystats,lpm,mbuf,member,mempool,meter,metrics,net,pci,pdump,pipeline,port,power,rawdev,reorder,ring,sched,security,table,timer,vhost
ANS,https://github.com/ansyun/dpdk-ans,YES,no,no,no,no,YES,no,no,no,no,YES,no,no,no,no,YES,YES,no,YES,no,no,YES,YES,no,YES,no,no,no,no,no,no,no,no,no,no,YES,no,no,no,YES,no
BESS,https://github.com/NetSys/bess,no,no,no,YES,no,no,no,no,no,no,YES,no,no,no,no,no,no,no,no,no,no,YES,YES,no,YES,no,no,no,YES,no,no,no,no,no,no,YES,no,no,no,no,no
DPVS,https://github.com/iqiyi/dpvs,no,no,no,no,no,no,no,no,no,no,YES,no,no,no,no,no,YES,no,YES,no,no,no,YES,no,YES,no,no,no,no,no,no,no,no,no,no,YES,no,no,no,YES,no
FD.io-VPP,https://github.com/FDio/vpp.git,no,no,no,no,no,no,no,YES,no,no,YES,no,no,no,no,no,no,no,no,no,no,no,YES,no,YES,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,YES,no
OVS,https://github.com/openvswitch/ovs.git,no,no,no,no,no,no,no,no,no,no,YES,no,no,no,no,no,no,no,no,no,no,no,YES,no,YES,YES,no,no,no,YES,no,no,no,no,no,YES,no,no,no,no,YES
Moongen,https://github.com/emmericp/MoonGen.git,no,no,no,no,no,no,no,no,no,no,YES,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
mTcp,https://github.com/eunyoung14/mtcp.git,no,no,no,no,no,no,no,no,no,no,YES,no,no,no,no,no,YES,no,no,no,no,no,YES,no,YES,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
OpenDataplane,https://github.com/Linaro/odp-dpdk.git,no,no,no,no,no,no,no,YES,no,no,YES,no,no,no,no,no,no,no,no,no,no,no,YES,no,YES,no,no,no,no,no,no,no,no,no,no,YES,no,no,no,YES,no
fastclick,https://github.com/tbarbette/fastclick.git,no,no,no,no,no,no,no,no,no,no,YES,no,no,no,no,no,no,no,no,no,no,no,YES,no,YES,no,no,no,no,no,no,no,no,no,no,YES,no,no,no,no,no
lagopus,https://github.com/lagopus/lagopus-router.git,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
packet-journey,https://github.com/Gandi/packet-journey,YES,no,no,no,YES,YES,no,no,no,no,YES,no,no,no,no,no,no,no,YES,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
PcapPlusPlus,https://github.com/seladb/PcapPlusPlus.git,no,no,no,YES,no,no,no,no,no,no,YES,no,no,no,no,no,no,no,no,no,no,no,YES,no,YES,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
pktgen-dpdk,git://dpdk.org/apps/pktgen-dpdk,no,no,no,no,no,YES,no,no,no,no,YES,no,no,no,no,no,no,no,no,no,no,no,YES,no,YES,no,no,no,no,no,no,no,no,no,no,no,no,no,no,YES,no
Ruru,https://github.com/REANNZ/ruru.git,no,no,no,no,no,no,no,no,no,no,YES,no,no,no,no,YES,no,no,no,no,no,no,YES,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Seastar,https://github.com/scylladb/seastar.git,no,no,no,no,no,YES,no,no,no,no,YES,no,no,no,no,no,no,no,no,no,no,no,YES,no,YES,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
SPDK,https://github.com/spdk/spdk.git,no,no,no,no,no,no,no,YES,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,YES,no,no,no,no,no,no,no,no,no,no,YES,no,no,no,no,YES
Trex,https://github.com/cisco-system-traffic-generator/trex-core.git,no,no,no,YES,YES,no,no,YES,YES,no,YES,YES,no,no,no,YES,YES,no,YES,YES,no,no,YES,no,YES,YES,no,YES,YES,YES,YES,YES,no,no,YES,YES,YES,YES,no,YES,no
Warp17,https://github.com/Juniper/warp17.git,no,no,no,no,no,YES,no,no,no,no,YES,no,no,no,no,no,no,no,YES,no,no,no,YES,no,YES,no,no,no,no,no,no,no,no,no,no,YES,no,no,no,YES,no
NFF-Go,https://github.com/intel-go/nff-go.git,no,no,no,no,no,no,no,no,no,no,YES,no,no,no,no,no,YES,no,YES,no,no,YES,YES,no,YES,no,no,no,no,no,no,no,no,no,no,YES,no,no,no,no,no
